id,title,venue,abstract,feild
519,Improving the performance of hierarchical classification with swarm intelligence,"Evolutionary Computation, Machine Learning and Data Mining in Bioinformatics"," In this paper we propose a new method to improve the performance of hierarchical classification. We use a swarm intelligence algorithm to select the type of classification algorithm to be used at each “classifier node” in a classifier tree. These classifier nodes are used in a top-down divide and conquer fashion to classify the examples from hierarchical data sets. In this paper we propose a swarm intelligence based approach which attempts to mitigate a major drawback with a recently proposed local search-based, greedy algorithm. Our swarm intelligence based approach is able to take into account classifier interactions whereas the greedy algorithm is not. We evaluate our proposed method against the greedy method in four challenging bioinformatics data sets and find that, overall, there is a significant increase in performance. ",biology
520,Semantic Predications for Complex Information Needs in Biomedical Literature,Bioinformatics and Biomedicine,"Many complex information needs that arise in biomedical disciplines require exploring multiple documents in order to obtain information. While traditional information retrieval techniques that return a single ranked list of documents are quite common for such tasks, they may not always be adequate. The main issue is that ranked lists typically impose a significant burden on users to filter out irrelevant documents. Additionally, users must intuitively reformulate their search query when relevant documents have not been not highly ranked. Furthermore, even after interesting documents have been selected, very few mechanisms exist that enable document- to-document transitions. In this paper, we demonstrate the utility of assertions extracted from biomedical text (called semantic predications) to facilitate retrieving relevant documents for complex information needs. Our approach offers an alternative to query reformulation by establishing a framework for transitioning from one document to another. We evaluate this novel knowledge-driven approach using precision and recall metrics on the 2006 TREC Genomics Track.",biology
521,A collaborative filtering approach to assess individual condition risk based on patients' social network data,International Conference on Bioinformatics, ! §  Comorbidity refers to the phenomenon that conditions are correlated with each other. E.g. some persons may develop depression that is secondary to alcohol dependence [1]. ! ,biology
522,Faster Algorithms for Optimal Multiple Sequence Alignment Based on Pairwise Comparisons,IEEE/ACM Transactions on Computational Biology and Bioinformatics,"Multiple Sequence Alignment (MSA) is one of the most fundamental problems in computational molecular biology. The running time of the best known scheme for finding an optimal alignment, based on dynamic programming, increases exponentially with the number of input sequences. Hence, many heuristics were suggested for the problem. We consider a version of the MSA problem where the goal is to find an optimal alignment in which matches are restricted to positions in predefined matching segments. We present several techniques for making the dynamic programming algorithm more efficient, while still finding an optimal solution under these restrictions. We prove that it suffices to find an optimal alignment of the predefined sequence segments, rather than single letters, thereby reducing the input size and thus improving the running time. We also identify ""shortcuts"" that expedite the dynamic programming scheme. Empirical study shows that, taken together, these observations lead to an improved running time over the basic dynamic programming algorithm by 4 to 12 orders of magnitude, while still obtaining an optimal solution. Under the additional assumption that matches between segments are transitive, we further improve the running time for finding the optimal solution by restricting the search space of the dynamic programming algorithm. ÂŠ 2006 IEEE.",biology
523,Predicting Thermophilic Nucleotide Sequences Based on Chaos Game Representation Features and Support Vector Machine,International Conference on Bioinformatics and Biomedical Engineering,"Knowledge of thermophilic mechanisms about some organisms whose optimum growth temperature (OGT) range from 50 to 80 degree plays a major role for helping design stable proteins. How to predict a DNA sequence to be thermophilic is a long but not fairly resolved problem. After downloading 10586 thermophilic bacteria nucleotide sequences and 14261 mesophilic bacteria nucleotide sequences from NCBI database and eliminating the sequences with 95% homologous similarity by CD-HIT, 1638 thermophilic and 2996 mesophilic sequences are remained. Chaos game representation (CGR) can investigate the patterns hiding in DNA sequence, visually revealing previously unknown structure. In this paper, we convert every DNA sequence into a high dimensional vector by CGR algorithm, and predict the DNA sequence thermostability by these CGR features and support vector machine (SVM) with three group experiments: 16-dimensional vector, 64-dimensional vector and 256-dimensional vector, respectively. Each group is evaluated by resubstitution test and 10-fold cross-validation test. In the resubstitution test, the results of all three groups perform highly satisfactions, in which the accuracy achieves 0.9989 and MCC (Matthews Correlation Coefficient) achieves 0.9978. In 10-fold cross-validation test, 256-dimensional vector get the the best: the average accuracy is 0.9088 and average MCC is 0.8169. The results show the effectiveness of the new algorithm.",biology
524,Identifying inconsistencies in multiple clinical practice guidelines for a patient with co-morbidity,Bioinformatics and Biomedicine," - This paper describes a methodological approach to identifying inconsistencies when reconciling multiple clinical practice guidelines. The need to address these inconsistencies arises when a patient with co-morbidity has to be managed according to different treatment regimens. Starting with a wellknown flowchart representation we discuss how to create a formal guideline model that allows for easy manipulations of its components. For this model we present how to identify conflicting actions that are manifested by treatment-treatment and treatment-disease interactions, and how to reconcile these conflicting actions. ",biology
525,A Pattern Mining Approach for Classifying Multivariate Temporal Data,Bioinformatics and Biomedicine,"We study the problem of learning classification models from complex multivariate temporal data encountered in electronic health record systems. The challenge is to define a good set of features that are able to represent well the temporal aspect of the data. Our method relies on temporal abstractions and temporal pattern mining to extract the classification features. Temporal pattern mining usually returns a large number of temporal patterns, most of which may be irrelevant to the classification task. To address this problem, we present the minimal predictive temporal patterns framework to generate a small set of predictive and non-spurious patterns. We apply our approach to the real-world clinical task of predicting patients who are at risk of developing heparin induced thrombocytopenia. The results demonstrate the benefit of our approach in learning accurate classifiers, which is a key step for developing intelligent clinical monitoring systems.",biology
526,System for random access DNA sequence compression,Bioinformatics and Biomedicine,"DNA sequences are generally compressed by algorithms using approximate repeats that are found in most DNA sequences. The regions of DNA that are not part of a repeat are encoded by using arithmetic coder which estimates the probabilities for each symbol using a Markov model. Since arithmetic coding is used for compressing the bitstream, random access is very difficult in these methods as bthe itstream is tightly packed. Random access is a desirable feature as it enable to decompress only interesting regions in the sequence. This paper presents a system which uses the approximate repeats based compression algorithm and provides random access capability.",biology
527,Decision Tree Based Predictive Models for Breast Cancer Survivability on Imbalanced Data,International Conference on Bioinformatics and Biomedical Engineering,"Based on imbalanced data, the predictive models for 5-year survivability of breast cancer using decision tree are proposed. After data preprocessing from SEER breast cancer datasets, it is obviously that the category of data distribution is imbalanced. Under-sampling is taken to make up the disadvantage of the performance of models caused by the imbalanced data. The performance of the models is evaluated by AUC under ROC curve, accuracy, specificity and sensitivity with 10-fold stratified cross-validation. The performance of models is best while the distribution of data is approximately equal. Bagging algorithm is used to build an integration decision tree model for predicting breast cancer survivability.",biology
528,An Extended Kalman Filtering Approach to Modeling Nonlinear Dynamic Gene Regulatory Networks via Short Gene Expression Time Series,IEEE/ACM Transactions on Computational Biology and Bioinformatics,"Abstract-In this paper, the extended Kalman filter (EKF) algorithm is applied to model the gene regulatory network from gene time series data. The gene regulatory network is considered as a nonlinear dynamic stochastic model that consists of the gene measurement equation and the gene regulation equation. After specifying the model structure, we apply the EKF algorithm for identifying both the model parameters and the actual value of gene expression levels. It is shown that the EKF algorithm is an online estimation algorithm that can identify a large number of parameters (including parameters of nonlinear functions) through iterative procedure by using a small number of observations. Four real-world gene expression data sets are employed to demonstrate the effectiveness of the EKF algorithm, and the obtained models are evaluated from the viewpoint of bioinformatics. ÂŠ C 2009 IEEE.",biology
