doc_index,doc_title,classification
d4018029-1b2f-45ca-a9d1-ebacfa337567,Determining Groundwater Recharge Potential Zone in Yogyakarta: Remote Sensing and GIS Approach,Geophysics
36d262a1-4bce-4571-8e85-9b090f7b019f,Reflectivity Dispersion for Gas Detection,Geophysics
ded0dff3-eee2-4e1f-90cc-d5f01da052f4,Implementation of Ensemble Kalman Filter (EnKF) Technique in Well-test Analysis of Gas Condensate Reservoirs,Petrophysics
bc4a9877-5de0-4e1d-8430-4b94f7c7c081,Estimate of Porosity Distribution by Using Seismic Inversion and Geostatistics Methods in one of the Oil Fields of Iran,Geophysics
a09eab74-b99b-44ee-a703-ae41b60739cb,"Porosity Type and Distribution in the Shu’aiba Reservoir, Southern Iranian Persian Gulf",Geology
33ca6800-92d8-4bee-a7fe-6f4c45b49d2e,Secondary Porosity Evaluation on Permeability Forecasting Using Fuzzy Logic and Neural Networks in Heterogenic Carbonate,Petrophysics
bf911b8a-cd2d-4b13-9e01-0d23bdd78b68,Diagenesis of the Asmari Formation (Oligo-Miocene; SW Iran): Implications on Reservoir Modelling of a Giant Oilfield,Geology
e8f97621-90c7-42df-bcd4-20666fe68e8c,A 3D Forward Method for Modeling Magnetic Anomalies Due to Tabular Bodies,Geophysics
b9e8ba1b-97de-40d5-8b3d-b9e69f8e9484,"Characterization of megascopic, connected vuggy limestone through whole core tomography – A useful tool to capture high resolution reservoir properties",Petrophysics
fc278e56-245e-4b7f-a881-bf5b583f3230,High resolution petrophysical analysis of thinly laminated reservoirs verified with MICP-based facies classification,Petrophysics
10f3fad7-0abc-45fd-b482-3f821910091d,Reviving Un-Tapped Potential In A Brown Field Through Geophysical And Reservoir Model Evaluation,Geophysics
55426a4b-354b-43a8-8883-5d2486976af9,Integrating production history into reservoir models using streamline-based time-of-flight ranking,Geomodelling
ebd5479b-b00e-468f-a844-5506b11e2df1,Borehole stability applications using high-resolution LWD acoustic caliper images,Petrophysics
14272464-d7aa-478b-b41d-686a414f0694,"Integration of latest oil-base mud borehole images with lower resolution tools, Thunder Horse North field, GOM",Petrophysics
5b29002c-9170-41ed-a407-0705f4af0d9a,Discrepancies in Fracture Related Anysotropy Direction Obtained from Multi Scale Data,Petrophysics
