doc_index,doc_title,classification
480b7c8d-84bd-4473-97e3-5b39b43744f3,Interfacial Interactions Between Dolomite/Brine/Gypsum using Surface Energy Approach,
4473758c-1843-4dd2-a07b-4778c8cf4221,Application of Organic Geochemistry Methods in FEC Practice,
cdbe407a-51e0-4312-8447-30b1ac3c493b,Pilot field trial of real-time pore pressure and well stability updates in a digital twin,
9a8b27f9-f077-4b9b-9ac8-e80ff186e66d,Keynote: Breaking New and Old Ground in Pore Pressure and Fracture Pressure Prediction,
71553099-788b-4e14-935f-691ad5a77587,"Pore Pressure, Fracture Gradient, Shallow Hazards and Reservoir Integration for Well Location Selection and Well Execution",
2944e17b-05b8-49df-820c-f404efc9f8a1,"A Rock Glacier Characterization - Bellecombes, Deux Alpes, France",
2f219e54-3f03-40c2-a604-31e2056c955b,The Influence of Oceanic Fracture Zones on the Segmentation and Structural Control of Continental Margins,
ed1ae51d-c88b-4d57-8244-941c355cad90,Fluidization and Liquefaction Structures in North-West Germany Caused by Weichselian Late Glacial Seismicity,
57d9f6ce-737f-4bb7-b232-a56a6a7fe9ce,Accurate Division of Sedimentary Sequences of Lake Delta in the Wheeler Domain,
b4202767-d2c5-4ac9-a5cc-4f983603fe63,Modelling the Diagenetic Tipping Points in the Porosity-permeability Evolution of a Carbonate Reservoir Rock,
675bb471-d764-4a19-99a8-553de5d621f9,Sequential Gaussian Conditioning,
b2f370f3-b917-4a3c-9590-1c35cb51c8c1,Upper Rotliegend Reservoir and Facies Models of Geomorphological and Structural Gas Traps in Silesian Basin - South-West Poland,
a5b6447a-5134-4899-a1cc-5c5f06a5424a,Hybrid Dip Estimation,
01e29fcf-9418-47a9-8a8c-6eec9d7afd38,Measuring Reservoir Compaction Using Time-Lapse Timeshifts,
b0cd9570-e788-409e-ae52-f5f57ebc7d81,Understanding of reservoir stress response using high-resolution microseismic analysis,
f293a4fb-2b9f-4ee4-9604-6afe9983b1fc,Parameterization and interpreting surface waves and body waves in elastic VTI full waveform inversion,
5c10d8ee-a7c9-4f17-8e56-6263ef957f71,3D Effects on 2D Interpretation of Marine CSEM Data,
e85783c6-6439-44fb-a10f-41250bfbd09b,Magnetotelluric Technique - An Aid to Developing Geothermal Field in India,
8b3b4421-aeef-44ac-b1ff-2ef29a414973,"Upper Jurassic and Lower Cretaceous Reefs of Shatsky Ridge, Black Sea",
6b4e6793-00ef-4902-8b8a-a89b81b22ec3,Application of MWD for Shallow Water Demultiple - Hibernia Case Study,
